"age_kyrBP","eccentricity","obliquity_deg","perihelion_deg","precession_esinw"
0,0.01670236225492288,23.43929111111183,102.91794451250462,0.01627964595166013
1,0.01716138713254424,23.56878986636755,85.82497989037988,0.01711584618133347
2,0.01749682471015021,23.694942814904067,68.75630657810213,0.01630787623257513
3,0.01784575075382516,23.814369600298505,51.76637124135318,0.014017726463057949
4,0.01821091028944827,23.924126644220504,35.029531796962644,0.010453036524601804
5,0.01845349552525976,24.021108382146544,18.078938645676235,0.0057266180644228
6,0.01874838431839618,24.102439566579193,1.4079938587543355,0.0004606788391855383
7,0.01893737527286929,24.1660384093866,344.8427197865733,-0.004951547722370461
8,0.01918007250168996,24.20955004227845,328.1469510915697,-0.010122138770913235
9,0.01932548079861887,24.231424717794944,311.59481543294055,-0.014452718600770641
10,0.01942460866702592,24.23072058795984,295.26651297471903,-0.017566298474565978
11,0.01959737478374667,24.20666617603942,278.6556120800018,-0.01937417585798311
12,0.01961275880112955,24.159215420067316,262.3821272434528,-0.019439661223967935
13,0.0196505558470216,24.08922255418025,245.9333387722334,-0.01794236483131798
14,0.01967905963813162,23.997456878776635,229.66704572971665,-0.015001272295564225
15,0.01963487419524003,23.885853014657506,213.29811713802337,-0.010779454656202534
16,0.01956017775848288,23.75679385717586,196.9101168219234,-0.005689491113482451
17,0.01948695985468776,23.61291182369839,180.7084186634967,-0.00024093527375451085
18,0.01934707647271221,23.457658971296894,164.3038469133876,0.0052340769850621385
19,0.01922308095068063,23.29513361953169,147.9033658499014,0.01021416127006623
20,0.01900267225865419,23.129009524578112,131.68805650207807,0.01419075545663811
21,0.01883542892960224,22.964135056032017,115.23432747210303,0.017037997738376814
22,0.01861739983119154,22.805250301196427,98.8871632941486,0.018393888688140327
23,0.0183405964667049,22.656617659974597,82.53615762684393,0.01818519723594331
24,0.01809455334563617,22.52301669608132,66.19566042393859,0.01655523342097743
25,0.0178681374211005,22.40885089664578,49.91994781015793,0.013671726895829118
26,0.01750678361180578,22.317293699438007,33.50339288570395,0.009663505841426716
27,0.01727896594149951,22.251841671456788,17.51436760590337,0.005200017472972041
28,0.01696684805293583,22.21479342818733,1.3024190437868168,0.000385648701787477
29,0.0166518441105734,22.207213012642388,345.25885902189583,-0.004237102054534685
30,0.01636551893016798,22.229896407987624,329.5174007349854,-0.008301845825940748
31,0.01604546955791278,22.282240671429054,313.83442922108435,-0.011574306188806118
32,0.01577846477664555,22.36238937861783,298.1325482711508,-0.013914383597132755
33,0.01544954351199893,22.468408304762548,283.01736521790616,-0.01505251869898523
34,0.01517498845788225,22.596930447162645,267.7896437472671,-0.015163697681680242
35,0.01494231991921538,22.743864114069066,252.89006325372202,-0.014281002803766265
36,0.01465169278767554,22.905453475488237,238.1993110911835,-0.012452273806508504
37,0.01442406727541747,23.076927929310845,223.724092726705,-0.009969718495876653
38,0.0142706431862717,23.253437451375916,209.57600926923752,-0.007043671966011053
39,0.01403936018899376,23.43069355149474,195.3749218606163,-0.0037223132863967176
40,0.0139293128948969,23.604153778605845,181.63876116923598,-0.0003983487984058994
41,0.01382407171998255,23.769321177924674,168.04713999292437,0.0028630599684641555
42,0.01373519859183324,23.922803934317827,154.35028363643232,0.0059455295780033585
43,0.01371940247316185,24.06077817409707,141.04460824713937,0.008625596115321148
44,0.01370571799095759,24.180278159013273,127.8929464872494,0.010816000321003758
45,0.01379270706095304,24.279033699478333,114.34423664134994,0.012566332444347215
46,0.01384268014662993,24.354880436022736,101.33733777807485,0.01357256458825983
47,0.01398676863392096,24.406398213840397,88.076327812116,0.013978886143239472
48,0.01418177395449276,24.43318935415867,74.71727249737758,0.013680262780378493
